,SMILES,REE,Meas. Type,Meas. Amount,Solvent,Acid Conc (M),Acid Type,Temperature (C),Ligand Conc (M)
1,"A. Shimada, T. Yaita, H. Narita, S. Tachimori, K. Okuno, Solvent Extr. Ion Exch. 2004, 22, 147-161.",,,,,,,,
2,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,La,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
3,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ce,Aq/Org Distribution,0.0002,CHCl3,1,HNO3,25,0.5
4,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Pr,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
5,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Nd,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
6,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Sm,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
7,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Eu,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
8,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Gd,Aq/Org Distribution,0.0001,CHCl3,1,HNO3,25,0.5
9,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tb,Aq/Org Distribution,0.0002,CHCl3,1,HNO3,25,0.5
10,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Dy,Aq/Org Distribution,0.0002,CHCl3,1,HNO3,25,0.5
11,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ho,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
12,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Er,Aq/Org Distribution,0.0004,CHCl3,1,HNO3,25,0.5
13,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Tm,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
14,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Yb,Aq/Org Distribution,0.0003,CHCl3,1,HNO3,25,0.5
15,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Lu,Aq/Org Distribution,0.0004,CHCl3,1,HNO3,25,0.5
16,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,La,Aq/Org Distribution,0.0036,CHCl3,2,HNO3,25,0.5
17,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Ce,Aq/Org Distribution,0.0034,CHCl3,2,HNO3,25,0.5
18,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Pr,Aq/Org Distribution,0.0039,CHCl3,2,HNO3,25,0.5
19,O=C(N(C1=CC=CC=C1)C)C2=CC=CC(C(N(C3=CC=CC=C3)C)=O)=N2,Nd,Aq/Org Distribution,0.0042,CHCl3,2,HNO3,25,0.5
