,Pair,Separation_Factor,SMILES,Current_REE_D,Next_REE_D,Solvent,Acid Conc (M),Acid Type,Temperature (C),Ligand Conc (M)
1345,Ce/Lu,28000.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.04,DCE,0.9,HNO3,25.0,0.007
1303,Ce/Yb,25454.545454545456,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.044,DCE,0.9,HNO3,25.0,0.007
777,La/Lu,19750.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.04,DCE,0.9,HNO3,25.0,0.007
728,La/Yb,17954.545454545456,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.044,DCE,0.9,HNO3,25.0,0.007
1263,Ce/Tm,17777.777777777777,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.063,DCE,0.9,HNO3,25.0,0.007
1200,Ce/Er,12584.26966292135,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.089,DCE,0.9,HNO3,25.0,0.007
688,La/Tm,12539.682539682539,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.063,DCE,0.9,HNO3,25.0,0.007
606,La/Er,8876.404494382023,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.089,DCE,0.9,HNO3,25.0,0.007
1160,Ce/Ho,7999.999999999999,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.14,DCE,0.9,HNO3,25.0,0.007
566,La/Ho,5642.857142857142,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.14,DCE,0.9,HNO3,25.0,0.007
1120,Ce/Dy,5600.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.2,DCE,0.9,HNO3,25.0,0.007
506,La/Dy,3950.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.2,DCE,0.9,HNO3,25.0,0.007
1784,Pr/Lu,3950.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.04,DCE,0.9,HNO3,25.0,0.007
1757,Pr/Yb,3590.909090909091,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.044,DCE,0.9,HNO3,25.0,0.007
1081,Ce/Tb,2800.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.4,DCE,0.9,HNO3,25.0,0.007
1730,Pr/Tm,2507.936507936508,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.063,DCE,0.9,HNO3,25.0,0.007
458,La/Tb,1975.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.4,DCE,0.9,HNO3,25.0,0.007
1041,Ce/Gd,1866.6666666666667,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,1120.0,0.6,DCE,0.9,HNO3,25.0,0.007
1672,Pr/Er,1775.2808988764045,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.089,DCE,0.9,HNO3,25.0,0.007
400,La/Gd,1316.6666666666667,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,790.0,0.6,DCE,0.9,HNO3,25.0,0.007
1645,Pr/Ho,1128.5714285714284,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.14,DCE,0.9,HNO3,25.0,0.007
1610,Pr/Dy,790.0,O=C1N(CCCCCC)C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC5=C(C(N=C(C(N(CCCCCC)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=O)C7=C9)=C9C=C5)N=C41,158.0,0.2,DCE,0.9,HNO3,25.0,0.007
